stationcode,fueltype,price,lastupdated
114,E10,155.9,17/05/2025 01:20:40
114,P95,175.9,17/05/2025 01:20:40
114,P98,184.9,17/05/2025 01:20:40
114,U91,157.9,17/05/2025 01:20:40
1142,DL,179.9,11/05/2025 23:09:59
1142,E10,185.9,16/05/2025 04:57:39
1142,LPG,115.9,15/05/2025 21:55:45
1142,P98,209.9,16/05/2025 04:57:39
1142,PDL,183.9,11/05/2025 23:09:59
1142,U91,187.9,16/05/2025 04:57:39
1143,P95,195.9,21/04/2025 19:58:45
1143,P98,204.9,21/04/2025 19:58:45
1143,PDL,192.9,21/04/2025 19:58:45
1143,U91,186.9,21/04/2025 19:58:45
1144,P95,189.9,12/03/2025 03:25:18
1144,P98,199.9,12/03/2025 03:25:18
1144,PDL,187.9,09/04/2025 22:15:04
1144,U91,176.9,09/04/2025 22:15:04
1145,P95,184.9,14/05/2025 20:40:09
1145,P98,194.9,17/04/2025 20:34:05
1145,PDL,176.9,14/05/2025 20:40:09
1145,U91,169.9,14/05/2025 20:40:09
1146,E10,182.9,21/04/2025 19:58:29
1146,P95,195.9,21/04/2025 19:58:29
1146,P98,204.9,21/04/2025 19:58:29
1146,PDL,192.9,21/04/2025 19:58:29
1146,U91,186.9,21/04/2025 19:58:29
1147,DL,189.5,28/04/2025 22:29:46
1147,P95,193.5,28/04/2025 22:29:46
1147,U91,181.5,28/04/2025 22:29:46
1148,DL,178.9,31/03/2025 02:07:42
1148,E10,171.9,15/04/2025 07:46:48
1148,EV,45.0,24/07/2020 03:21:29
1148,P95,188.9,15/04/2025 07:46:48
1148,P98,198.9,15/04/2025 07:46:48
1148,PDL,179.9,31/03/2025 02:07:42
1148,U91,172.9,15/04/2025 07:46:48
115,DL,185.9,08/05/2025 05:45:47
115,P98,203.9,20/04/2025 01:15:45
115,U91,180.9,20/04/2025 01:15:45
1150,E10,159.8,15/05/2025 21:50:03
1150,P95,174.8,15/05/2025 21:50:03
1150,P98,184.8,15/05/2025 21:50:03
1150,PDL,179.8,15/05/2025 21:50:03
1151,E10,159.9,15/05/2025 21:24:35
1151,P98,182.9,15/05/2025 21:24:35
1151,PDL,182.9,21/04/2025 01:44:06
1152,E10,158.9,15/05/2025 21:18:54
1152,P95,171.9,15/05/2025 21:18:54
1152,P98,183.9,16/05/2025 01:09:52
1152,PDL,175.9,15/05/2025 21:40:13
1153,DL,167.9,08/05/2025 01:16:29
1153,E10,162.9,17/05/2025 22:28:31
1153,P98,184.9,17/05/2025 22:28:31
1153,PDL,169.9,08/05/2025 01:16:29
1153,U91,164.9,17/05/2025 22:28:31
1157,E10,167.9,15/04/2025 00:49:37
1157,P98,193.9,15/04/2025 00:49:37
1157,PDL,172.9,15/04/2025 00:49:37
1157,U91,169.9,15/04/2025 00:49:37
1158,E10,161.9,17/05/2025 05:25:35
1158,LPG,109.9,09/09/2024 00:52:15
1158,P98,187.9,17/05/2025 05:25:35
1158,PDL,173.9,16/05/2025 00:12:50
1158,U91,163.9,17/05/2025 05:25:35
1159,E10,168.9,06/05/2025 18:46:34
1159,P98,194.9,06/05/2025 18:46:34
1159,PDL,173.9,06/05/2025 18:46:34
1159,U91,170.9,06/05/2025 18:46:34
116,DL,175.9,14/05/2025 22:18:45
116,E10,156.9,08/05/2025 23:10:46
116,P95,174.9,08/05/2025 23:10:46
116,P98,183.9,08/05/2025 23:10:46
116,PDL,179.9,14/05/2025 04:44:50
1164,DL,163.5,13/05/2025 05:26:44
1164,E10,150.7,16/05/2025 07:04:16
1164,P98,172.7,16/05/2025 07:04:16
1164,PDL,166.5,13/05/2025 05:26:44
1164,U91,152.7,16/05/2025 07:04:16
1167,E10,166.9,15/05/2025 04:06:54
1167,P98,191.9,15/05/2025 04:06:54
1167,PDL,175.9,13/05/2025 07:09:25
1167,U91,168.9,15/05/2025 04:06:54
1168,P98,191.9,12/05/2025 10:05:35
1168,PDL,177.9,12/05/2025 10:05:35
1168,U91,169.9,12/05/2025 10:05:35
117,E10,167.9,17/05/2025 23:48:27
117,P95,185.9,17/05/2025 23:48:27
117,P98,194.9,17/05/2025 23:48:27
117,PDL,191.9,12/05/2025 09:00:57
1175,DL,159.5,05/05/2025 23:04:39
1175,E10,152.5,16/05/2025 11:22:50
1175,P98,179.5,16/05/2025 11:22:50
1175,U91,154.5,16/05/2025 11:22:50
1176,DL,183.9,16/05/2025 05:00:22
1177,DL,179.9,09/05/2025 04:27:34
1177,P95,191.9,16/05/2025 05:04:35
1177,U91,180.9,16/05/2025 05:04:35
1178,DL,187.9,09/05/2025 04:28:25
1178,P98,199.9,16/05/2025 05:05:36
1178,PDL,189.9,09/05/2025 04:28:25
1178,U91,187.9,16/05/2025 05:05:36
118,E10,168.9,09/05/2025 00:55:10
118,P98,193.9,09/05/2025 00:55:10
118,PDL,189.9,13/05/2025 23:59:42
118,U91,170.9,09/05/2025 00:55:10
1180,DL,183.9,09/05/2025 23:24:53
1180,P95,193.9,16/04/2025 04:31:21
1180,U91,183.9,16/04/2025 04:31:21
1181,DL,177.9,22/04/2025 01:28:34
1181,LPG,125.9,09/10/2024 06:03:41
1181,P95,179.9,22/04/2025 01:28:34
1181,PDL,177.9,22/04/2025 01:28:34
1181,U91,169.9,22/04/2025 01:28:34
1184,DL,185.9,11/05/2025 22:30:11
1184,E10,169.9,05/05/2025 23:38:27
1184,P95,186.9,05/05/2025 23:38:27
1184,U91,171.9,05/05/2025 23:38:27
1185,E10,156.7,08/05/2025 22:44:02
1185,P98,178.7,10/05/2025 00:59:09
1185,PDL,168.7,10/05/2025 00:59:09
1186,DL,163.9,09/05/2025 00:11:30
1186,E10,151.7,16/05/2025 01:56:56
1186,P98,170.7,16/05/2025 01:56:56
1186,PDL,166.9,08/05/2025 13:44:16
1186,U91,153.5,16/05/2025 01:56:56
1187,DL,172.9,15/05/2025 03:22:17
1187,LPG,129.9,08/01/2025 02:39:08
1187,P95,187.9,15/05/2025 03:22:17
1187,P98,195.9,15/05/2025 03:22:17
1187,U91,174.9,15/05/2025 03:22:17
1189,LPG,115.9,16/09/2024 23:17:42
1189,P95,175.9,13/05/2025 20:17:51
1189,P98,184.9,13/05/2025 20:17:51
1189,PDL,174.9,13/05/2025 20:17:51
1189,U91,160.9,13/05/2025 20:17:51
119,DL,179.9,16/05/2025 03:30:52
119,E10,167.9,15/05/2025 04:50:40
119,LPG,119.9,05/03/2025 13:15:49
119,P95,184.9,15/05/2025 04:50:40
119,P98,192.9,15/05/2025 04:50:40
119,U91,169.9,15/05/2025 04:50:40
1192,DL,166.9,27/04/2025 22:27:32
1192,P98,193.9,15/05/2025 00:49:11
1192,U91,172.9,14/05/2025 00:23:38
1193,DL,168.5,13/05/2025 02:20:15
1193,P98,186.5,13/05/2025 02:20:15
1193,U91,167.5,13/05/2025 02:20:15
1194,DL,182.5,02/05/2025 04:14:44
1194,LPG,113.9,13/03/2025 22:58:15
1194,P98,198.9,02/05/2025 04:14:44
1194,PDL,183.5,02/05/2025 04:14:44
1194,U91,176.9,02/05/2025 04:14:44
1197,DL,167.7,20/03/2025 17:59:39
1197,E10,155.7,13/04/2025 20:37:44
1197,P95,168.7,13/04/2025 20:37:44
1197,P98,177.7,13/04/2025 20:37:44
1197,PDL,167.7,20/03/2025 17:59:39
1197,U91,157.7,13/04/2025 20:37:44
1198,E10,161.5,16/05/2025 11:28:40
1198,P95,194.5,08/05/2025 23:12:01
1198,P98,199.5,08/05/2025 23:12:01
1198,PDL,189.5,30/04/2025 00:04:06
1198,U91,163.5,16/05/2025 11:28:40
1199,DL,179.9,09/05/2025 00:51:29
1199,P98,184.9,09/05/2025 00:51:29
1199,U91,159.9,09/05/2025 00:51:29
12,DL,195.9,07/05/2025 04:00:44
12,E10,175.9,17/05/2025 01:45:49
12,P98,202.9,17/05/2025 01:45:49
120,DL,177.9,16/05/2025 05:15:47
120,E10,161.9,18/05/2025 06:15:46
120,P95,178.9,18/05/2025 06:15:46
120,P98,186.9,18/05/2025 06:15:46
120,U91,163.9,18/05/2025 06:15:46
1204,U91,196.0,24/07/2024 05:31:35
1206,E10,169.9,13/05/2025 21:03:27
1206,P98,198.9,13/05/2025 21:03:27
1206,PDL,197.9,30/04/2025 02:04:02
1207,DL,179.9,09/05/2025 05:43:44
1207,E10,175.9,09/05/2025 05:43:44
1207,P98,199.9,09/05/2025 05:43:44
1207,PDL,184.9,09/05/2025 05:43:44
1207,U91,177.9,09/05/2025 05:43:44
1208,E10,177.9,12/03/2025 21:41:25
1208,P98,199.9,12/03/2025 21:41:25
1208,PDL,189.9,12/03/2025 21:41:25
1208,U91,179.9,12/03/2025 21:41:25
1209,DL,163.5,13/05/2025 03:02:41
1209,E10,159.5,15/05/2025 06:43:44
1209,P98,181.5,15/05/2025 06:43:44
1209,U91,162.5,15/05/2025 06:43:44
121,DL,174.9,13/05/2025 06:45:50
121,E10,158.9,13/05/2025 05:05:38
121,P95,175.9,13/05/2025 05:05:38
121,P98,183.9,13/05/2025 05:05:38
121,U91,160.9,13/05/2025 05:05:38
1219,E10,160.9,14/05/2025 02:00:38
1219,P95,179.9,14/05/2025 02:00:38
1219,P98,189.9,14/05/2025 02:00:38
1219,PDL,178.9,08/05/2025 02:56:43
122,DL,180.9,17/05/2025 03:15:45
122,E10,166.9,08/05/2025 05:45:47
122,P95,183.9,08/05/2025 05:45:47
122,P98,191.9,08/05/2025 05:45:47
122,U91,168.9,08/05/2025 05:45:47
1220,DL,162.5,16/05/2025 11:20:23
1220,E10,152.5,16/05/2025 11:20:23
1220,LPG,114.9,20/02/2025 05:08:04
1220,P98,177.5,16/05/2025 11:20:23
1220,U91,154.5,16/05/2025 11:20:23
1221,DL,173.5,09/04/2025 02:01:39
1221,E10,159.5,16/05/2025 23:30:28
1221,P95,174.5,16/05/2025 23:30:28
1221,P98,181.5,16/05/2025 23:30:28
1221,U91,161.5,16/05/2025 23:30:28
1225,DL,176.5,30/04/2025 05:45:43
1225,P95,188.5,30/04/2025 05:45:43
1225,U91,172.5,30/04/2025 05:45:43
1229,E10,152.9,16/05/2025 23:24:44
1229,P95,176.9,15/05/2025 02:41:18
1229,P98,185.9,15/05/2025 02:41:18
1229,PDL,169.9,05/05/2025 03:36:11
1229,U91,156.9,16/05/2025 23:24:44
123,DL,174.9,16/05/2025 03:20:41
123,E10,170.9,12/04/2025 03:05:39
123,P95,189.9,02/05/2025 02:30:46
123,P98,197.9,12/04/2025 03:05:39
123,PDL,178.9,16/05/2025 03:20:41
123,U91,172.9,12/04/2025 03:05:39
1231,DL,159.5,05/05/2025 23:05:27
1231,E10,152.5,16/05/2025 11:23:46
1231,P98,179.5,16/05/2025 11:23:46
1231,U91,154.5,16/05/2025 11:23:46
1232,E10,159.5,18/05/2025 00:33:33
1232,P95,176.5,16/05/2025 13:16:06
1232,P98,186.5,16/05/2025 13:16:06
1232,PDL,179.5,22/04/2025 00:33:08
1232,U91,160.5,18/05/2025 00:33:33
1233,DL,169.5,14/05/2025 07:50:30
1233,E10,157.5,16/05/2025 01:16:34
1233,P98,179.5,16/05/2025 01:16:34
1233,U91,159.5,16/05/2025 01:16:34
1234,DL,189.9,03/04/2025 00:38:45
1234,P98,202.9,03/04/2025 00:38:45
1234,U91,184.9,03/04/2025 00:38:45
1239,E10,152.7,18/05/2025 02:08:25
1239,P95,163.7,18/05/2025 02:08:25
1239,PDL,169.9,15/05/2025 22:59:30
1240,E10,166.9,17/05/2025 02:54:34
1240,P98,188.9,17/05/2025 02:54:34
1240,PDL,168.5,13/05/2025 02:57:40
1240,U91,168.9,17/05/2025 02:54:34
1242,DL,157.5,05/05/2025 23:01:34
1242,E10,152.5,16/05/2025 11:24:30
1242,P98,179.5,16/05/2025 11:24:30
1242,PDL,169.5,05/05/2025 23:01:34
1242,U91,154.5,16/05/2025 11:24:30
1243,P95,174.9,14/05/2025 05:38:59
